date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor
2024-04-08,484.78,486.98,477.23,484.28,3436622,484.78,486.98,477.23,484.28,3436622,0.0,1.0
2024-04-09,486.0,493.31,483.31,492.55,2538880,486.0,493.31,483.31,492.55,2538880,0.0,1.0
2024-04-10,489.39,491.765,480.28,487.22,2487870,489.39,491.765,480.28,487.22,2487870,0.0,1.0
2024-04-11,487.36,488.67,479.74,484.28,2978539,487.36,488.67,479.74,484.28,2978539,0.0,1.0
2024-04-12,477.95,478.78,468.6,474.09,5621945,477.95,478.78,468.6,474.09,5621945,0.0,1.0
2024-04-15,477.02,478.52,468.35,470.1,3353225,477.02,478.52,468.35,470.1,3353225,0.0,1.0
2024-04-16,470.0,478.98,468.49,476.22,2660097,470.0,478.98,468.49,476.22,2660097,0.0,1.0
2024-04-17,477.31,481.02,472.685,474.45,2034793,477.31,481.02,472.685,474.45,2034793,0.0,1.0
2024-04-18,476.76,477.605,471.825,473.18,2389742,476.76,477.605,471.825,473.18,2389742,0.0,1.0
2024-04-19,476.54,476.58,463.0901,465.02,3282142,476.54,476.58,463.0901,465.02,3282142,0.0,1.0
2024-04-22,470.215,471.5,462.28,466.89,2604256,470.215,471.5,462.28,466.89,2604256,0.0,1.0
2024-04-23,469.72,474.81,467.83,472.9,2205836,469.72,474.81,467.83,472.9,2205836,0.0,1.0
2024-04-24,472.94,478.57,471.7283,477.12,2338044,472.94,478.57,471.7283,477.12,2338044,0.0,1.0
2024-04-25,468.41,474.5042,465.78,473.44,2250913,468.41,474.5042,465.78,473.44,2250913,0.0,1.0
2024-04-26,472.31,482.79,471.685,477.56,2460261,472.31,482.79,471.685,477.56,2460261,0.0,1.0
2024-04-29,478.04,481.677,471.07,473.07,2954736,478.04,481.677,471.07,473.07,2954736,0.0,1.0
2024-04-30,472.0,475.42,462.46,462.83,3222618,472.0,475.42,462.46,462.83,3222618,0.0,1.0
2024-05-01,461.12,477.76,460.36,469.39,2490171,461.12,477.76,460.36,469.39,2490171,0.0,1.0
2024-05-02,474.3,477.155,468.2994,476.57,2516422,474.3,477.155,468.2994,476.57,2516422,0.0,1.0
2024-05-03,482.27,487.49,477.565,486.18,2833186,482.27,487.49,477.565,486.18,2833186,0.0,1.0
2024-05-06,490.1,495.44,488.0,493.59,2104030,490.1,495.44,488.0,493.59,2104030,0.0,1.0
2024-05-07,492.51,496.755,489.14,492.27,2518346,492.51,496.755,489.14,492.27,2518346,0.0,1.0
2024-05-08,489.97,495.81,486.92,488.1,2165021,489.97,495.81,486.92,488.1,2165021,0.0,1.0
2024-05-09,489.41,490.4364,481.65,482.65,2301635,489.41,490.4364,481.65,482.65,2301635,0.0,1.0
2024-05-10,483.5,489.48,480.3,482.29,2741116,483.5,489.48,480.3,482.29,2741116,0.0,1.0
2024-05-13,486.24,490.1599,481.71,483.11,2458192,486.24,490.1599,481.71,483.11,2458192,0.0,1.0
2024-05-14,480.41,481.8,466.48,475.95,4287846,480.41,481.8,466.48,475.95,4287846,0.0,1.0
2024-05-15,480.76,489.61,476.61,485.35,3491638,480.76,489.61,476.61,485.35,3491638,0.0,1.0
2024-05-16,484.7,486.23,481.385,482.88,2562865,484.7,486.23,481.385,482.88,2562865,0.0,1.0
2024-05-17,483.32,485.88,481.52,483.43,2261147,483.32,485.88,481.52,483.43,2261147,0.0,1.0
2024-05-20,483.0,485.37,478.32,484.69,1881117,483.0,485.37,478.32,484.69,1881117,0.0,1.0
2024-05-21,481.19,487.5,477.12,481.85,1915797,481.19,487.5,477.12,481.85,1915797,0.0,1.0
2024-05-22,483.97,485.665,479.14,483.93,1875835,483.97,485.665,479.14,483.93,1875835,0.0,1.0
2024-05-23,488.38,491.68,478.69,483.31,2219854,488.38,491.68,478.69,483.31,2219854,0.0,1.0
2024-05-24,481.25,485.38,473.9,475.43,3085605,481.25,485.38,473.9,475.43,3085605,0.0,1.0
2024-05-28,473.01,478.67,469.6,478.43,2575270,473.01,478.67,469.6,478.43,2575270,0.0,1.0
2024-05-29,472.78,482.79,472.595,477.6,2214810,472.78,482.79,472.595,477.6,2214810,0.0,1.0
2024-05-30,464.9,466.82,444.84,445.87,5606896,464.9,466.82,444.84,445.87,5606896,0.0,1.0
2024-05-31,447.72,448.23,433.97,444.76,7487507,447.72,448.23,433.97,444.76,7487507,0.0,1.0
2024-06-03,447.58,449.84,436.58,439.02,3967669,447.58,449.84,436.58,439.02,3967669,0.0,1.0
2024-06-04,442.82,450.12,441.59,448.37,3183594,442.82,450.12,441.59,448.37,3183594,0.0,1.0
2024-06-05,449.19,458.6,448.37,455.8,3295029,449.19,458.6,448.37,455.8,3295029,0.0,1.0
2024-06-06,457.7,467.8515,456.87,458.13,3234970,457.7,467.8515,456.87,458.13,3234970,0.0,1.0
2024-06-07,458.13,468.93,458.13,465.43,2684170,458.13,468.93,458.13,465.43,2684170,0.0,1.0
2024-06-10,453.84,462.23,451.51,459.94,3212350,453.84,462.23,451.51,459.94,3212350,0.0,1.0
2024-06-11,456.91,462.74,455.5,462.69,2723659,456.91,462.74,455.5,462.69,2723659,0.0,1.0
2024-06-12,470.0,471.12,459.16,459.87,3647447,470.0,471.12,459.16,459.87,3647447,0.0,1.0
2024-06-13,457.87,462.3899,453.5,458.74,8557963,457.87,462.3899,453.5,458.74,8557963,0.0,1.0
2024-06-14,530.25,534.45,521.88,525.31,14846614,530.25,534.45,521.88,525.31,14846614,0.0,1.0
2024-06-17,525.51,525.94,505.38,518.74,7163820,525.51,525.94,505.38,518.74,7163820,0.0,1.0
2024-06-18,514.71,530.37,513.13,522.25,4225943,514.71,530.37,513.13,522.25,4225943,0.0,1.0
2024-06-20,527.665,533.23,520.4,522.95,5752373,527.665,533.23,520.4,522.95,5752373,0.0,1.0
2024-06-21,530.31,535.0,524.715,533.44,6614086,530.31,535.0,524.715,533.44,6614086,0.0,1.0
2024-06-24,532.1,534.58,523.48,524.17,3067824,532.1,534.58,523.48,524.17,3067824,0.0,1.0
2024-06-25,526.2,529.68,522.24,526.88,3144202,526.2,529.68,522.24,526.88,3144202,0.0,1.0
2024-06-26,528.58,530.66,526.01,528.66,2931667,528.58,530.66,526.01,528.66,2931667,0.0,1.0
2024-06-27,533.21,549.16,532.1,546.76,4734063,533.21,549.16,532.1,546.76,4734063,0.0,1.0
2024-06-28,549.7,558.48,548.01,555.54,5084543,549.7,558.48,548.01,555.54,5084543,0.0,1.0
2024-07-01,551.37,561.21,549.73,560.01,3070159,551.37,561.21,549.73,560.01,3070159,0.0,1.0
2024-07-02,560.0,570.14,560.0,567.71,3054491,560.0,570.14,560.0,567.71,3054491,0.0,1.0
2024-07-03,564.292,571.83,564.0001,570.15,1664373,564.292,571.83,564.0001,570.15,1664373,0.0,1.0
2024-07-05,570.91,580.55,568.92,578.34,2808635,570.91,580.55,568.92,578.34,2808635,0.0,1.0
2024-07-08,573.18,576.745,563.92,575.4,3007422,573.18,576.745,563.92,575.4,3007422,0.0,1.0
2024-07-09,573.05,575.01,562.46,566.02,2169020,573.05,575.01,562.46,566.02,2169020,0.0,1.0
2024-07-10,564.71,566.93,558.21,564.55,2368443,564.71,566.93,558.21,564.55,2368443,0.0,1.0
2024-07-11,564.0,572.62,557.09,557.63,3191358,564.0,572.62,557.09,557.63,3191358,0.0,1.0
2024-07-12,555.1,562.49,552.315,559.05,2013985,555.1,562.49,552.315,559.05,2013985,0.0,1.0
2024-07-15,560.23,568.23,560.23,565.71,1887763,560.23,568.23,560.23,565.71,1887763,0.0,1.0
2024-07-16,564.6,570.1,562.08,566.54,1539875,564.6,570.1,562.08,566.54,1539875,0.0,1.0
2024-07-17,563.93,565.0,556.46,563.09,2316265,563.93,565.0,556.46,563.09,2316265,0.0,1.0
2024-07-18,564.18,564.26,556.07,556.85,2184657,564.18,564.26,556.07,556.85,2184657,0.0,1.0
2024-07-19,557.05,561.09,548.96,551.0,2601942,557.05,561.09,548.96,551.0,2601942,0.0,1.0
2024-07-22,558.65,560.19,552.7074,554.82,2391696,558.65,560.19,552.7074,554.82,2391696,0.0,1.0
2024-07-23,556.49,557.249,544.44,546.01,2363881,556.49,557.249,544.44,546.01,2363881,0.0,1.0
2024-07-24,543.8,544.71,530.35,531.04,2630081,543.8,544.71,530.35,531.04,2630081,0.0,1.0
2024-07-25,536.8,542.28,527.59,532.15,2136496,536.8,542.28,527.59,532.15,2136496,0.0,1.0
2024-07-26,535.35,545.4999,533.33,542.44,2090007,535.35,545.4999,533.33,542.44,2090007,0.0,1.0
2024-07-29,544.3,544.3,535.19,536.61,1590551,544.3,544.3,535.19,536.61,1590551,0.0,1.0
2024-07-30,541.85,543.67,530.9501,538.71,1566875,541.85,543.67,530.9501,538.71,1566875,0.0,1.0
2024-07-31,547.05,555.55,543.77,551.65,2776002,547.05,555.55,543.77,551.65,2776002,0.0,1.0
2024-08-01,549.99,561.98,540.24,546.41,2075410,549.99,561.98,540.24,546.41,2075410,0.0,1.0
2024-08-02,535.78,536.84,519.68,526.17,2729113,535.78,536.84,519.68,526.17,2729113,0.0,1.0
2024-08-05,504.23,515.9,500.0,509.32,3432155,504.23,515.9,500.0,509.32,3432155,0.0,1.0
2024-08-06,513.69,519.16,509.01,514.2,2076327,513.69,519.16,509.01,514.2,2076327,0.0,1.0
2024-08-07,520.95,531.005,512.86,513.62,1663682,520.95,531.005,512.86,513.62,1663682,0.0,1.0
2024-08-08,520.59,531.07,519.56,530.24,2155115,520.59,531.07,519.56,530.24,2155115,0.0,1.0
2024-08-09,528.02,537.28,528.02,536.3,1272635,528.02,537.28,528.02,536.3,1272635,0.0,1.0
2024-08-12,536.04,538.08,525.77,530.93,1450410,536.04,538.08,525.77,530.93,1450410,0.0,1.0
2024-08-13,530.93,537.72,527.9,535.22,3063918,530.93,537.72,527.9,535.22,3063918,0.0,1.0
2024-08-14,536.62,542.9205,533.2,539.79,1915589,536.62,542.9205,533.2,539.79,1915589,0.0,1.0
2024-08-15,545.19,557.22,545.01,554.16,2182382,545.19,557.22,545.01,554.16,2182382,0.0,1.0
2024-08-16,552.35,554.76,547.8,553.46,1541726,552.35,554.76,547.8,553.46,1541726,0.0,1.0
2024-08-19,550.59,563.77,550.59,563.12,1423293,550.59,563.77,550.59,563.12,1423293,0.0,1.0
2024-08-20,564.48,568.18,559.61,562.25,1219609,564.48,568.18,559.61,562.25,1219609,0.0,1.0
2024-08-21,562.13,566.6,557.91,565.79,1401708,562.13,566.6,557.91,565.79,1401708,0.0,1.0
2024-08-22,567.07,572.0,555.65,557.44,1627658,567.07,572.0,555.65,557.44,1627658,0.0,1.0
2024-08-23,565.45,566.52,552.5,558.3,2023465,565.45,566.52,552.5,558.3,2023465,0.0,1.0
2024-08-26,555.03,560.26,555.03,559.44,1387479,555.03,560.26,555.03,559.44,1387479,0.0,1.0
2024-08-27,554.4,569.52,554.3439,567.82,1404415,554.4,569.52,554.3439,567.82,1404415,0.0,1.0
2024-08-28,568.22,569.59,557.67,560.54,1289699,568.22,569.59,557.67,560.54,1289699,0.0,1.0
2024-08-29,567.05,578.4,567.05,569.63,1955588,567.05,578.4,567.05,569.63,1955588,0.0,1.0
2024-08-30,572.2,575.65,568.2865,574.41,1982970,572.2,575.65,568.2865,574.41,1982970,0.0,1.0
2024-09-03,576.3,586.695,566.79,571.04,2757929,576.3,586.695,566.79,571.04,2757929,0.0,1.0
2024-09-04,568.87,578.86,565.76,575.25,1613865,568.87,578.86,565.76,575.25,1613865,0.0,1.0
2024-09-05,570.75,573.39,562.53,567.93,1573571,570.75,573.39,562.53,567.93,1573571,0.0,1.0
2024-09-06,570.9,573.31,558.0,563.41,2096790,570.9,573.31,558.0,563.41,2096790,0.0,1.0
2024-09-09,567.69,574.57,564.44,569.88,1997121,567.69,574.57,564.44,569.88,1997121,0.0,1.0
2024-09-10,576.75,577.8,567.14,574.48,2030076,576.75,577.8,567.14,574.48,2030076,0.0,1.0
2024-09-11,573.01,581.24,559.35,580.38,2680977,573.01,581.24,559.35,580.38,2680977,0.0,1.0
2024-09-12,581.445,587.75,572.98,586.55,5605338,581.445,587.75,572.98,586.55,5605338,0.0,1.0
2024-09-13,532.565,540.27,526.6,536.87,10423510,532.565,540.27,526.6,536.87,10423510,0.0,1.0
2024-09-16,537.4,537.69,521.26,521.5,5248205,537.4,537.69,521.26,521.5,5248205,0.0,1.0
2024-09-17,524.29,527.0999,514.58,515.03,5164089,524.29,527.0999,514.58,515.03,5164089,0.0,1.0
2024-09-18,517.01,517.58,506.4901,508.13,3997267,517.01,517.58,506.4901,508.13,3997267,0.0,1.0
2024-09-19,518.81,527.48,518.02,526.44,3582532,518.81,527.48,518.02,526.44,3582532,0.0,1.0
2024-09-20,526.44,528.625,515.72,522.3,6100685,526.44,528.625,515.72,522.3,6100685,0.0,1.0
2024-09-23,525.71,532.0,524.955,527.87,2106995,525.71,532.0,524.955,527.87,2106995,0.0,1.0
2024-09-24,527.72,530.2999,521.71,524.07,2842054,527.72,530.2999,521.71,524.07,2842054,0.0,1.0
2024-09-25,526.02,526.18,516.24,517.9,3211612,526.02,526.18,516.24,517.9,3211612,0.0,1.0
2024-09-26,520.51,521.355,512.11,515.38,3282437,520.51,521.355,512.11,515.38,3282437,0.0,1.0
2024-09-27,516.52,516.6799,512.3,515.48,2718323,516.52,516.6799,512.3,515.48,2718323,0.0,1.0
2024-09-30,513.83,518.47,511.74,517.78,2588151,513.83,518.47,511.74,517.78,2588151,0.0,1.0
2024-10-01,517.45,519.0,502.5,502.8,3730026,517.45,519.0,502.5,502.8,3730026,0.0,1.0
2024-10-02,503.87,510.19,502.8201,505.81,1981848,503.87,510.19,502.8201,505.81,1981848,0.0,1.0
2024-10-03,501.02,509.81,498.59,503.8,1921604,501.02,509.81,498.59,503.8,1921604,0.0,1.0
2024-10-04,507.29,508.56,503.5901,507.22,1949994,507.29,508.56,503.5901,507.22,1949994,0.0,1.0
2024-10-07,503.96,504.87,486.4,487.3,4870534,503.96,504.87,486.4,487.3,4870534,0.0,1.0
2024-10-08,492.45,500.0,486.4,496.24,3551609,492.45,500.0,486.4,496.24,3551609,0.0,1.0
2024-10-09,495.88,495.88,492.32,494.08,2869417,495.88,495.88,492.32,494.08,2869417,0.0,1.0
2024-10-10,490.54,506.45,489.35,503.57,2775102,490.54,506.45,489.35,503.57,2775102,0.0,1.0
2024-10-11,504.78,507.9799,494.9,495.42,2992409,504.78,507.9799,494.9,495.42,2992409,0.0,1.0
2024-10-14,501.8,514.26,500.41,509.65,3411497,501.8,514.26,500.41,509.65,3411497,0.0,1.0
2024-10-15,513.82,517.772,506.8,508.03,3605675,513.82,517.772,506.8,508.03,3605675,0.0,1.0
2024-10-16,506.39,506.84,500.25,502.54,1859116,506.39,506.84,500.25,502.54,1859116,0.0,1.0
2024-10-17,506.51,507.5,495.23,496.83,2769241,506.51,507.5,495.23,496.83,2769241,0.0,1.0
2024-10-18,491.29,499.0,491.0501,494.9,2011121,491.29,499.0,491.0501,494.9,2011121,0.0,1.0
2024-10-21,494.6,500.6499,492.96,497.71,1679657,494.6,500.6499,492.96,497.71,1679657,0.0,1.0
2024-10-22,496.43,497.34,488.36,493.11,2388721,496.43,497.34,488.36,493.11,2388721,0.0,1.0
2024-10-23,492.0,493.83,483.391,485.03,2021316,492.0,493.83,483.391,485.03,2021316,0.0,1.0
2024-10-24,486.63,488.47,480.06,482.87,2100308,486.63,488.47,480.06,482.87,2100308,0.0,1.0
2024-10-25,483.42,488.34,482.52,483.72,2426769,483.42,488.34,482.52,483.72,2426769,0.0,1.0
2024-10-28,487.65,488.49,480.48,481.04,2302255,487.65,488.49,480.48,481.04,2302255,0.0,1.0
2024-10-29,481.92,487.56,479.33,485.39,2089505,481.92,487.56,479.33,485.39,2089505,0.0,1.0
2024-10-30,482.24,492.2,482.24,486.68,2728573,482.24,492.2,482.24,486.68,2728573,0.0,1.0
2024-10-31,486.0,486.05,477.38,478.08,2978688,486.0,486.05,477.38,478.08,2978688,0.0,1.0
2024-11-01,475.41,485.16,475.05,482.8,2852008,475.41,485.16,475.05,482.8,2852008,0.0,1.0
2024-11-04,479.03,483.76,477.37,481.35,1955249,479.03,483.76,477.37,481.35,1955249,0.0,1.0
2024-11-05,483.09,486.659,480.47,486.42,1588149,483.09,486.659,480.47,486.42,1588149,0.0,1.0
2024-11-06,492.93,506.21,492.93,504.83,2969855,492.93,506.21,492.93,504.83,2969855,0.0,1.0
2024-11-07,510.655,510.655,495.3,500.92,2640295,510.655,510.655,495.3,500.92,2640295,0.0,1.0
2024-11-08,503.83,505.0,493.69,494.68,2856859,503.83,505.0,493.69,494.68,2856859,0.0,1.0
2024-11-11,493.6,507.72,493.6,504.48,3536599,493.6,507.72,493.6,504.48,3536599,0.0,1.0
2024-11-12,504.39,528.91,504.27,526.42,4125288,504.39,528.91,504.27,526.42,4125288,0.0,1.0
2024-11-13,523.79,539.92,520.59,532.5,3470174,523.79,539.92,520.59,532.5,3470174,0.0,1.0
2024-11-14,530.55,534.6399,523.46,529.87,3098800,530.55,534.6399,523.46,529.87,3098800,0.0,1.0
2024-11-15,520.3,524.4999,498.81,503.37,4612417,520.3,524.4999,498.81,503.37,4612417,0.0,1.0
2024-11-18,505.0,505.51,497.69,499.51,2259651,505.0,505.51,497.69,499.51,2259651,0.0,1.0
2024-11-19,496.0,502.41,495.46,499.61,1961731,496.0,502.41,495.46,499.61,1961731,0.0,1.0
2024-11-20,505.41,506.36,494.61,499.5,1874910,505.41,506.36,494.61,499.5,1874910,0.0,1.0
2024-11-21,502.1,508.57,493.1,504.44,2002094,502.1,508.57,493.1,504.44,2002094,0.0,1.0
2024-11-22,502.5,513.37,502.5,512.15,2287614,502.5,513.37,502.5,512.15,2287614,0.0,1.0
2024-11-25,519.09,523.2099,513.1935,518.73,3319992,519.09,523.2099,513.1935,518.73,3319992,0.0,1.0
2024-11-26,519.95,525.76,516.3601,525.3,2415735,519.95,525.76,516.3601,525.3,2415735,0.0,1.0
2024-11-27,523.21,525.88,508.7161,513.68,2324217,523.21,525.88,508.7161,513.68,2324217,0.0,1.0
2024-11-29,517.65,517.65,513.58,515.93,1450247,517.65,517.65,513.58,515.93,1450247,0.0,1.0
2024-12-02,512.85,518.77,511.53,516.2,2007213,512.85,518.77,511.53,516.2,2007213,0.0,1.0
2024-12-03,511.04,516.78,504.505,516.26,2119254,511.04,516.78,504.505,516.26,2119254,0.0,1.0
2024-12-04,523.02,541.77,521.005,536.49,3307041,523.02,541.77,521.005,536.49,3307041,0.0,1.0
2024-12-05,534.42,540.11,529.79,538.22,2629119,534.42,540.11,529.79,538.22,2629119,0.0,1.0
2024-12-06,544.15,554.37,542.9,552.96,2964064,544.15,554.37,542.9,552.96,2964064,0.0,1.0
2024-12-09,556.1,557.8999,546.1101,547.93,3588653,556.1,557.8999,546.1101,547.93,3588653,0.0,1.0
2024-12-10,547.35,552.83,544.22,547.05,2762875,547.35,552.83,544.22,547.05,2762875,0.0,1.0
2024-12-11,547.05,552.3,541.74,549.93,6690565,547.05,552.3,541.74,549.93,6690565,0.0,1.0
2024-12-12,487.5,494.0,470.9001,474.63,17344864,487.5,494.0,470.9001,474.63,17344864,0.0,1.0
2024-12-13,473.98,474.91,456.8,465.69,11395512,473.98,474.91,456.8,465.69,11395512,0.0,1.0
2024-12-16,467.19,473.62,461.2,461.53,5807021,467.19,473.62,461.2,461.53,5807021,0.0,1.0
2024-12-17,460.59,465.856,452.48,455.23,7514489,460.59,465.856,452.48,455.23,7514489,0.0,1.0
2024-12-18,453.24,455.25,441.1,441.31,6511105,453.24,455.25,441.1,441.31,6511105,0.0,1.0
2024-12-19,443.41,449.0,437.11,437.39,6479517,443.41,449.0,437.11,437.39,6479517,0.0,1.0
2024-12-20,433.015,451.42,432.47,447.17,8220033,433.015,451.42,432.47,447.17,8220033,0.0,1.0
2024-12-23,447.0,451.4299,443.4201,446.74,3781194,447.0,451.4299,443.4201,446.74,3781194,0.0,1.0
2024-12-24,446.5,448.8653,442.5701,447.94,1685003,446.5,448.8653,442.5701,447.94,1685003,0.0,1.0
2024-12-26,445.85,452.34,444.68,450.16,2134310,445.85,452.34,444.68,450.16,2134310,0.0,1.0
2024-12-27,446.88,449.91,441.105,446.48,2947179,446.88,449.91,441.105,446.48,2947179,0.0,1.0
2024-12-30,442.94,447.6,438.57,445.8,3473172,442.94,447.6,438.57,445.8,3473172,0.0,1.0
2024-12-31,446.35,448.4999,442.81,444.68,2285132,446.35,448.4999,442.81,444.68,2285132,0.0,1.0
2025-01-02,447.76,450.12,440.56,441.0,2507887,447.76,450.12,440.56,441.0,2507887,0.0,1.0
2025-01-03,429.445,433.2982,425.32,430.57,5619372,429.445,433.2982,425.32,430.57,5619372,0.0,1.0
2025-01-06,431.88,436.4082,427.79,431.18,3994400,431.88,436.4082,427.79,431.18,3994400,0.0,1.0
2025-01-07,431.37,435.18,420.51,422.63,4181405,431.37,435.18,420.51,422.63,4181405,0.0,1.0
2025-01-08,417.34,422.66,415.51,419.58,3508786,417.34,422.66,415.51,419.58,3508786,0.0,1.0
2025-01-10,410.0,413.1,405.32,405.92,5564262,410.0,413.1,405.32,405.92,5564262,0.0,1.0
2025-01-13,404.27,409.96,403.75,408.5,4558780,404.27,409.96,403.75,408.5,4558780,0.0,1.0
2025-01-14,407.25,412.75,405.0701,412.71,3577116,407.25,412.75,405.0701,412.71,3577116,0.0,1.0
2025-01-15,421.7,423.97,415.66,417.28,4345781,421.7,423.97,415.66,417.28,4345781,0.0,1.0
2025-01-16,418.21,428.89,418.0,426.93,4185552,418.21,428.89,418.0,426.93,4185552,0.0,1.0
2025-01-17,434.345,435.99,425.7,429.99,4012745,434.345,435.99,425.7,429.99,4012745,0.0,1.0
2025-01-21,433.26,439.98,431.5,436.36,3833294,433.26,439.98,431.5,436.36,3833294,0.0,1.0
2025-01-22,438.0,439.73,433.43,437.32,3391642,438.0,439.73,433.43,437.32,3391642,0.0,1.0
2025-01-23,435.88,437.73,432.49,437.28,2716742,435.88,437.73,432.49,437.28,2716742,0.0,1.0
2025-01-24,437.28,441.8799,434.73,435.38,2631804,437.28,441.8799,434.73,435.38,2631804,0.0,1.0
2025-01-27,430.23,445.4499,430.12,438.6,5086254,430.23,445.4499,430.12,438.6,5086254,0.0,1.0
2025-01-28,436.27,445.805,431.64,442.84,5376392,436.27,445.805,431.64,442.84,5376392,0.0,1.0
2025-01-29,439.92,444.36,438.825,441.68,2997604,439.92,444.36,438.825,441.68,2997604,0.0,1.0
2025-01-30,439.67,448.42,439.23,446.0,3290128,439.67,448.42,439.23,446.0,3290128,0.0,1.0
2025-01-31,446.975,447.0095,435.83,437.45,4689083,446.975,447.0095,435.83,437.45,4689083,0.0,1.0
2025-02-03,437.8,442.74,430.88,438.6,3348717,437.8,442.74,430.88,438.6,3348717,0.0,1.0
2025-02-04,435.43,443.58,434.26,440.23,2647701,435.43,443.58,434.26,440.23,2647701,0.0,1.0
2025-02-05,440.75,444.95,436.27,437.63,2938540,440.75,444.95,436.27,437.63,2938540,0.0,1.0
2025-02-06,437.63,439.96,434.35,435.4,2568120,437.63,439.96,434.35,435.4,2568120,0.0,1.0
2025-02-07,436.24,441.0,432.41,433.07,2693470,436.24,441.0,432.41,433.07,2693470,0.0,1.0
2025-02-10,439.25,453.37,439.0,451.1,3946729,439.25,453.37,439.0,451.1,3946729,0.0,1.0
2025-02-11,449.0,461.549,448.29,458.82,3256999,449.0,461.549,448.29,458.82,3256999,0.0,1.0
2025-02-12,458.0,463.0,451.3,462.76,3308534,458.0,463.0,451.3,462.76,3308534,0.0,1.0
2025-02-13,465.21,465.6999,457.03,459.22,2794395,465.21,465.6999,457.03,459.22,2794395,0.0,1.0
2025-02-14,463.35,464.99,458.0,460.16,2622973,463.35,464.99,458.0,460.16,2622973,0.0,1.0
2025-02-18,462.65,464.33,453.07,464.11,2973775,462.65,464.33,453.07,464.11,2973775,0.0,1.0
2025-02-19,463.61,463.61,455.32,456.99,2965546,463.61,463.61,455.32,456.99,2965546,0.0,1.0
2025-02-20,457.44,461.0,451.57,454.69,2337598,457.44,461.0,451.57,454.69,2337598,0.0,1.0
2025-02-21,453.275,453.75,440.69,444.32,3375996,453.275,453.75,440.69,444.32,3375996,0.0,1.0
2025-02-24,445.11,446.28,440.91,444.42,2807937,445.11,446.28,440.91,444.42,2807937,0.0,1.0
2025-02-25,443.47,447.49,439.1738,443.41,2612652,443.47,447.49,439.1738,443.41,2612652,0.0,1.0
2025-02-26,443.8,447.65,438.4,441.5,1947626,443.8,447.65,438.4,441.5,1947626,0.0,1.0
2025-02-27,441.79,444.57,436.82,437.19,2340232,441.79,444.57,436.82,437.19,2340232,0.0,1.0
2025-02-28,438.16,440.37,432.103,438.56,3936914,438.16,440.37,432.103,438.56,3936914,0.0,1.0
2025-03-03,440.65,448.09,438.21,440.72,2607694,440.65,448.09,438.21,440.72,2607694,0.0,1.0
2025-03-04,439.25,448.8159,434.7,446.03,2942168,439.25,448.8159,434.7,446.03,2942168,0.0,1.0
2025-03-05,443.65,453.26,443.11,451.24,2406219,443.65,453.26,443.11,451.24,2406219,0.0,1.0
2025-03-06,444.73,452.19,441.1861,444.78,2732076,444.73,452.19,441.1861,444.78,2732076,0.0,1.0
2025-03-07,442.0,452.51,440.99,449.4,3039466,442.0,452.51,440.99,449.4,3039466,0.0,1.0
2025-03-10,443.11,444.54,433.23,435.08,3980355,443.11,444.54,433.23,435.08,3980355,0.0,1.0
2025-03-11,432.88,441.33,431.0,433.66,3145227,432.88,441.33,431.0,433.66,3145227,0.0,1.0
2025-03-12,436.69,443.9,435.5,438.6,5515858,436.69,443.9,435.5,438.6,5515858,0.0,1.0
2025-03-13,405.27,405.77,374.5,377.84,14386637,405.27,405.77,374.5,377.84,14386637,0.0,1.0
2025-03-14,379.745,396.36,377.8,394.74,6134775,379.745,396.36,377.8,394.74,6134775,0.0,1.0
2025-03-17,394.115,399.94,387.13,399.34,4258533,394.115,399.94,387.13,399.34,4258533,0.0,1.0
2025-03-18,395.36,395.95,384.57,391.37,4297269,395.36,395.95,384.57,391.37,4297269,0.0,1.0
2025-03-19,394.1,395.26,387.0,387.89,4349931,394.1,395.26,387.0,387.89,4349931,0.0,1.0
2025-03-20,386.895,397.82,385.8025,389.61,4009500,386.895,397.82,385.8025,389.61,4009500,0.0,1.0
2025-03-21,384.13,389.85,382.45,387.26,7607266,384.13,389.85,382.45,387.26,7607266,0.0,1.0
2025-03-24,392.47,396.86,391.3801,394.47,5223006,392.47,396.86,391.3801,394.47,5223006,0.0,1.0
2025-03-25,393.57,404.32,392.99,403.64,3648552,393.57,404.32,392.99,403.64,3648552,0.0,1.0
2025-03-26,403.0,404.5,397.01,397.81,3426315,403.0,404.5,397.01,397.81,3426315,0.0,1.0
2025-03-27,397.44,401.4763,392.51,396.15,2729696,397.44,401.4763,392.51,396.15,2729696,0.0,1.0
2025-03-28,393.89,396.92,384.755,385.71,3830307,393.89,396.92,384.755,385.71,3830307,0.0,1.0
2025-03-31,380.0,384.8,374.67,383.53,3960737,380.0,384.8,374.67,383.53,3960737,0.0,1.0
2025-04-01,381.13,384.0,375.53,383.2,3847766,381.13,384.0,375.53,383.2,3847766,0.0,1.0
2025-04-02,378.28,388.0,376.54,385.78,2859064,378.28,388.0,376.54,385.78,2859064,0.0,1.0
2025-04-03,371.875,376.01,366.29,367.25,5324421,371.875,376.01,366.29,367.25,5324421,0.0,1.0
2025-04-04,359.0,361.73,348.8,349.07,5867564,359.0,361.73,348.8,349.07,5867564,0.0,1.0
2025-04-07,335.54,358.36,332.01,340.7,7690909,335.54,358.36,332.01,340.7,7690909,0.0,1.0
